Position (mm);Force (N);Strain (%);Time (min);largura (mm);espessura (mm)
4,27;815;0,801;0,857;;
4,28;816;0,801;0,859;;
4,28;817;0,801;0,86;;
4,29;818;0,801;0,862;;
4,3;822;0,801;0,864;;
4,3;822;0,801;0,864;;
4,31;823;0,801;0,866;;
4,36;835;0,801;0,867;;
4,43;863;0,801;0,868;;
4,5;890;0,801;0,87;;
4,57;914;0,801;0,871;;
4,64;937;0,801;0,872;;
4,7;959;0,801;0,874;;
4,77;979;0,801;0,875;;
4,84;998;0,801;0,877;;
4,91;1020;0,801;0,878;;
4,98;1030;0,801;0,879;;
5,04;1050;0,801;0,881;;
5,11;1060;0,801;0,882;;
5,18;1080;0,801;0,883;;
5,25;1090;0,801;0,885;;
5,32;1100;0,801;0,886;;
5,38;1110;0,801;0,887;;
5,45;1130;0,801;0,889;;
5,52;1140;0,801;0,89;;
5,59;1150;0,801;0,892;;
5,66;1160;0,801;0,893;;
5,72;1170;0,801;0,894;;
5,79;1180;0,801;0,896;;
5,86;1190;0,801;0,897;;
5,93;1190;0,801;0,898;;
6;1200;0,801;0,9;;
6,06;1210;0,801;0,901;;
6,13;1220;0,801;0,902;;
6,2;1230;0,801;0,904;;
6,27;1230;0,801;0,905;;
6,34;1240;0,801;0,906;;
6,4;1250;0,801;0,908;;
6,47;1260;0,801;0,909;;
6,54;1260;0,801;0,911;;
6,61;1270;0,801;0,912;;
6,68;1280;0,801;0,913;;
6,75;1280;0,801;0,915;;
6,81;1290;0,801;0,916;;
6,88;1300;0,801;0,917;;
6,95;1300;0,801;0,919;;
7,02;1310;0,801;0,92;;
7,08;1310;0,801;0,921;;
7,15;1320;0,801;0,923;;
7,22;1320;0,801;0,924;;
7,29;1330;0,801;0,926;;
7,35;1330;0,801;0,927;;
7,43;1340;0,801;0,928;;
7,49;1340;0,801;0,93;;
7,56;1350;0,801;0,931;;
7,63;1350;0,801;0,932;;
7,7;1360;0,801;0,934;;
7,76;1360;0,801;0,935;;
7,83;1370;0,801;0,936;;
7,9;1370;0,801;0,938;;
7,97;1370;0,801;0,939;;
8,03;1380;0,801;0,94;;
8,11;1380;0,801;0,942;;
8,17;1380;0,801;0,943;;
8,24;1390;0,801;0,945;;
8,31;1390;0,801;0,946;;
8,38;1390;0,801;0,947;;
8,44;1400;0,801;0,949;;
8,51;1400;0,801;0,95;;
8,58;1400;0,801;0,951;;
8,65;1400;0,801;0,953;;
8,72;1410;0,801;0,954;;
8,79;1410;0,801;0,955;;
8,85;1410;0,801;0,957;;
8,91;1410;0,801;0,958;;
8,99;1420;0,801;0,96;;
9,06;1420;0,801;0,961;;
9,12;1420;0,801;0,962;;
9,19;1420;0,801;0,964;;
9,26;1420;0,801;0,965;;
9,33;1420;0,801;0,966;;
9,4;1420;0,801;0,968;;
9,46;1430;0,801;0,969;;
9,53;1430;0,801;0,97;;
9,6;1430;0,801;0,972;;
9,67;1430;0,801;0,973;;
9,74;1430;0,801;0,974;;
9,8;1430;0,801;0,976;;
9,87;1430;0,801;0,977;;
9,94;1430;0,801;0,979;;
10;1430;0,801;0,98;;
10,1;1430;0,801;0,981;;
10,1;1430;0,801;0,983;;
10,2;1430;0,801;0,984;;
10,3;1430;0,801;0,985;;
10,3;1430;0,801;0,987;;
10,4;1430;0,801;0,988;;
10,5;1430;0,801;0,989;;
10,6;1430;0,801;0,991;;
10,6;1430;0,801;0,992;;
10,7;1430;0,801;0,994;;
10,8;1430;0,801;0,995;;
10,8;1430;0,801;0,996;;
10,9;1420;0,801;0,998;;
11;1420;0,801;0,999;;
11;1420;0,801;1;;
11,1;1420;0,801;1;;
11,2;1420;0,801;1;;
11,2;1420;0,801;1;;
11,3;1420;0,801;1,01;;
11,4;1420;0,801;1,01;;
11,4;1420;0,801;1,01;;
11,5;1410;0,801;1,01;;
11,6;1410;0,801;1,01;;
11,6;1410;0,801;1,01;;
11,7;1410;0,801;1,01;;
11,8;1410;0,801;1,02;;
11,8;1410;0,801;1,02;;
11,9;1410;0,801;1,02;;
12;1400;0,801;1,02;;
12;1400;0,801;1,02;;
12,1;1400;0,801;1,02;;
12,2;1400;0,801;1,02;;
12,3;1400;0,801;1,02;;
12,3;1390;0,801;1,03;;
12,4;1390;0,801;1,03;;
12,5;1390;0,801;1,03;;
12,5;1390;0,801;1,03;;
12,6;1390;0,801;1,03;;
12,7;1380;0,801;1,03;;
12,7;1380;0,801;1,03;;
12,8;1380;0,801;1,04;;
12,9;1380;0,801;1,04;;
12,9;1370;0,801;1,04;;
13;1370;0,801;1,04;;
13,1;1370;0,801;1,04;;
13,1;1370;0,801;1,04;;
13,2;1370;0,801;1,04;;
13,3;1360;0,801;1,05;;
13,3;1360;0,801;1,05;;
13,4;1360;0,801;1,05;;
13,5;1360;0,801;1,05;;
13,5;1350;0,801;1,05;;
13,6;1350;0,801;1,05;;
13,7;1350;0,801;1,05;;
13,7;1350;0,801;1,05;;
13,8;1340;0,801;1,06;;
13,9;1340;0,801;1,06;;
14;1340;0,801;1,06;;
14;1330;0,801;1,06;;
14,1;1330;0,801;1,06;;
14,2;1330;0,801;1,06;;
14,2;1320;0,801;1,06;;
14,3;1320;0,801;1,07;;
14,4;1320;0,801;1,07;;
14,4;1310;0,801;1,07;;
14,5;1310;0,801;1,07;;
14,6;1310;0,801;1,07;;
14,6;1300;0,801;1,07;;
14,7;1300;0,801;1,07;;
14,8;1300;0,801;1,08;;
14,8;1290;0,801;1,08;;
14,9;1290;0,801;1,08;;
15;1280;0,801;1,08;;
15;1280;0,801;1,08;;
15,1;1270;0,801;1,08;;
15,2;1260;0,801;1,08;;
15,2;1260;0,801;1,08;;
15,3;1250;0,801;1,09;;
15,4;1240;0,801;1,09;;
15,4;1230;0,801;1,09;;
15,5;1220;0,801;1,09;;
15,6;1210;0,801;1,09;;
15,7;1190;0,801;1,09;;
15,7;1170;0,801;1,09;;
15,8;1150;0,801;1,1;;
15,9;0;0,801;1,1;;
