Position (mm);Force (N);Strain (%);Time (min);largura (mm);espessura (mm)
0,783;30;0,0425;0,16;;
0,788;30;0,0428;0,161;;
0,793;31,7;0,0431;0,162;;
0,798;31,7;0,0433;0,163;;
0,803;31,7;0,0435;0,164;;
0,807;31,7;0,0438;0,165;;
0,812;31,7;0,0442;0,166;;
0,816;31,7;0,0447;0,167;;
0,822;31,7;0,0452;0,168;;
0,827;31,7;0,0455;0,169;;
0,831;31,7;0,0459;0,17;;
0,836;31,7;0,0464;0,171;;
0,84;31,7;0,0467;0,172;;
0,845;31,7;0,0472;0,173;;
0,85;31,7;0,0476;0,174;;
0,854;31,7;0,0482;0,175;;
0,86;31,7;0,0488;0,176;;
0,864;31,7;0,0493;0,176;;
0,869;33,3;0,05;0,177;;
0,874;33,3;0,0506;0,178;;
0,878;33,3;0,0512;0,179;;
0,883;33,3;0,0516;0,18;;
0,888;33,3;0,052;0,181;;
0,892;33,3;0,0524;0,182;;
0,898;33,3;0,0528;0,183;;
0,902;33,3;0,0533;0,184;;
0,907;33,3;0,0538;0,185;;
0,911;33,3;0,0544;0,186;;
0,916;33,3;0,055;0,187;;
0,921;35;0,0554;0,188;;
0,926;35;0,0561;0,189;;
0,931;35;0,0567;0,19;;
0,935;35;0,0574;0,191;;
0,94;36,7;0,0583;0,192;;
0,945;36,7;0,0594;0,193;;
0,949;38,3;0,0605;0,194;;
0,955;38,3;0,0616;0,195;;
0,959;40;0,0625;0,195;;
0,964;40,5;0,0636;0,196;;
0,968;41,7;0,0645;0,197;;
0,974;41,7;0,0654;0,198;;
0,978;42,4;0,0665;0,199;;
0,983;43,8;0,0674;0,2;;
0,988;45;0,0682;0,201;;
0,993;45;0,0689;0,202;;
0,997;46;0,0697;0,203;;
1;46,7;0,0704;0,204;;
1,01;46,7;0,0712;0,205;;
1,01;48,3;0,0718;0,206;;
1,02;48,3;0,0724;0,207;;
1,02;48,3;0,0733;0,208;;
1,03;50;0,0739;0,209;;
1,03;50;0,0746;0,21;;
1,03;50;0,0753;0,211;;
1,04;51,7;0,0759;0,212;;
1,04;52,3;0,0766;0,213;;
1,05;53,3;0,0774;0,214;;
1,05;53,3;0,0781;0,214;;
1,06;53,3;0,0788;0,215;;
1,06;53,3;0,0795;0,216;;
1,07;55;0,0801;0,217;;
1,07;55;0,0808;0,218;;
1,08;56,7;0,0815;0,219;;
1,08;56,7;0,0822;0,22;;
1,09;56,7;0,0831;0,221;;
1,09;58,3;0,0837;0,222;;
1,1;58,3;0,0846;0,223;;
1,1;60;0,0853;0,224;;
1,11;60;0,086;0,225;;
1,11;60;0,0867;0,226;;
1,12;61,7;0,0874;0,227;;
1,12;61,7;0,0882;0,228;;
1,12;63,3;0,089;0,229;;
1,13;63,3;0,0897;0,23;;
1,13;63,6;0,0905;0,231;;
1,14;65;0,0911;0,232;;
1,14;65,8;0,0919;0,232;;
1,15;66,7;0,0927;0,233;;
1,15;66,7;0,0935;0,234;;
1,16;68,3;0,0943;0,235;;
1,16;68,3;0,0951;0,236;;
1,17;68,3;0,0958;0,237;;
1,17;68,3;0,0965;0,238;;
1,18;70;0,0973;0,239;;
1,18;70;0,098;0,24;;
1,19;71,7;0,0989;0,241;;
1,19;71,7;0,0996;0,242;;
1,2;73,1;0,1;0,243;;
1,2;73,3;0,101;0,244;;
1,21;73,3;0,102;0,245;;
1,21;75;0,103;0,246;;
1,22;75;0,104;0,247;;
1,22;76,7;0,105;0,248;;
1,23;76,7;0,106;0,249;;
1,23;77,8;0,107;0,25;;
1,23;78,3;0,108;0,251;;
1,24;78,3;0,109;0,251;;
1,24;80;0,109;0,252;;
1,25;80;0,11;0,253;;
1,25;81,7;0,111;0,254;;
1,26;81,7;0,112;0,255;;
1,26;81,7;0,113;0,256;;
1,27;83,3;0,114;0,257;;
1,27;84,6;0,115;0,258;;
1,28;85;0,116;0,259;;
1,28;86,7;0,117;0,26;;
1,29;86,7;0,118;0,261;;
1,29;86,7;0,119;0,262;;
1,3;88,3;0,12;0,263;;
1,3;88,3;0,121;0,264;;
1,31;88,3;0,122;0,265;;
1,31;90;0,123;0,266;;
1,31;91,5;0,124;0,267;;
1,32;91,7;0,125;0,268;;
1,32;93,3;0,126;0,269;;
1,33;93,3;0,127;0,269;;
1,33;93,3;0,128;0,27;;
1,34;95;0,129;0,271;;
1,34;95,1;0,13;0,272;;
1,35;96,7;0,131;0,273;;
1,35;96,7;0,132;0,274;;
1,36;98,3;0,133;0,275;;
1,36;99,6;0,134;0,276;;
1,37;100;0,135;0,277;;
1,37;100;0,136;0,278;;
1,38;102;0,137;0,279;;
1,38;102;0,139;0,28;;
1,39;103;0,14;0,281;;
1,39;103;0,141;0,282;;
1,4;105;0,142;0,283;;
1,4;105;0,143;0,284;;
1,4;106;0,144;0,285;;
1,41;107;0,145;0,286;;
1,41;108;0,146;0,287;;
1,42;108;0,147;0,288;;
1,42;110;0,149;0,288;;
1,43;110;0,15;0,289;;
1,43;112;0,151;0,29;;
1,44;112;0,152;0,291;;
1,44;112;0,153;0,292;;
1,45;113;0,154;0,293;;
1,45;113;0,155;0,294;;
1,46;115;0,156;0,295;;
1,46;115;0,158;0,296;;
1,47;117;0,159;0,297;;
1,47;117;0,16;0,298;;
1,48;118;0,161;0,299;;
1,48;118;0,162;0,3;;
1,49;120;0,164;0,301;;
1,49;120;0,165;0,302;;
1,5;122;0,166;0,303;;
1,5;122;0,167;0,304;;
1,5;123;0,169;0,305;;
1,51;123;0,17;0,306;;
1,51;125;0,171;0,306;;
1,52;126;0,172;0,307;;
1,52;127;0,174;0,308;;
1,53;127;0,175;0,309;;
1,53;128;0,176;0,31;;
1,54;130;0,177;0,311;;
1,54;130;0,179;0,312;;
1,55;130;0,18;0,313;;
1,55;132;0,181;0,314;;
1,56;133;0,183;0,315;;
1,56;133;0,184;0,316;;
1,57;135;0,185;0,317;;
1,57;135;0,187;0,318;;
1,58;137;0,188;0,319;;
1,58;137;0,189;0,32;;
1,59;138;0,19;0,321;;
1,59;139;0,192;0,322;;
1,59;140;0,193;0,323;;
1,6;141;0,194;0,324;;
1,6;142;0,196;0,325;;
1,61;143;0,197;0,325;;
1,61;143;0,198;0,326;;
1,62;145;0,2;0,327;;
1,62;145;0,201;0,328;;
1,63;147;0,203;0,329;;
1,63;147;0,204;0,33;;
1,64;148;0,206;0,331;;
1,64;150;0,207;0,332;;
1,65;150;0,208;0,333;;
1,65;152;0,21;0,334;;
1,66;152;0,211;0,335;;
1,66;153;0,213;0,336;;
1,67;154;0,214;0,337;;
1,67;155;0,216;0,338;;
1,68;157;0,217;0,339;;
1,68;157;0,219;0,34;;
1,68;158;0,22;0,341;;
1,69;159;0,221;0,342;;
1,69;160;0,223;0,343;;
1,7;162;0,224;0,344;;
1,7;162;0,226;0,344;;
1,71;163;0,227;0,345;;
1,71;164;0,229;0,346;;
1,72;165;0,23;0,347;;
1,72;167;0,232;0,348;;
1,73;167;0,233;0,349;;
1,73;168;0,235;0,35;;
1,74;169;0,236;0,351;;
1,74;170;0,238;0,352;;
1,75;172;0,239;0,353;;
1,75;172;0,241;0,354;;
1,76;173;0,242;0,355;;
1,76;174;0,244;0,356;;
1,77;175;0,245;0,357;;
1,77;177;0,247;0,358;;
1,77;177;0,248;0,359;;
1,78;178;0,25;0,36;;
1,78;178;0,251;0,361;;
1,79;180;0,253;0,362;;
1,79;180;0,255;0,362;;
1,8;182;0,256;0,363;;
1,8;183;0,258;0,364;;
1,81;183;0,259;0,365;;
1,81;185;0,261;0,366;;
1,82;185;0,262;0,367;;
1,82;187;0,264;0,368;;
1,83;188;0,265;0,369;;
1,83;189;0,267;0,37;;
1,84;190;0,268;0,371;;
1,84;192;0,27;0,372;;
1,85;192;0,272;0,373;;
1,85;193;0,273;0,374;;
1,86;194;0,275;0,375;;
1,86;195;0,276;0,376;;
1,87;197;0,278;0,377;;
1,87;197;0,279;0,378;;
1,87;198;0,281;0,379;;
1,88;200;0,283;0,38;;
1,88;200;0,284;0,381;;
1,89;202;0,286;0,381;;
1,89;203;0,288;0,382;;
1,9;203;0,289;0,383;;
1,9;205;0,291;0,384;;
1,91;207;0,293;0,385;;
1,91;207;0,294;0,386;;
1,92;208;0,296;0,387;;
1,92;210;0,298;0,388;;
1,93;210;0,299;0,389;;
1,93;211;0,301;0,39;;
1,94;212;0,303;0,391;;
1,94;213;0,304;0,392;;
1,95;215;0,306;0,393;;
1,95;215;0,308;0,394;;
1,96;217;0,309;0,395;;
1,96;218;0,311;0,396;;
1,96;220;0,313;0,397;;
1,97;220;0,315;0,398;;
1,97;222;0,316;0,399;;
1,98;222;0,318;0,399;;
1,98;223;0,32;0,4;;
1,99;225;0,321;0,401;;
1,99;225;0,323;0,402;;
2;227;0,325;0,403;;
2;228;0,327;0,404;;
2,01;229;0,328;0,405;;
2,01;230;0,33;0,406;;
2,02;232;0,332;0,407;;
2,02;232;0,334;0,408;;
2,03;233;0,335;0,409;;
2,03;235;0,337;0,41;;
2,04;236;0,339;0,411;;
2,04;237;0,341;0,412;;
2,05;238;0,343;0,413;;
2,05;240;0,344;0,414;;
2,05;242;0,346;0,415;;
2,06;242;0,348;0,416;;
2,06;243;0,349;0,417;;
2,07;243;0,351;0,418;;
2,07;245;0,353;0,418;;
2,08;246;0,355;0,419;;
2,08;247;0,357;0,42;;
2,09;248;0,358;0,421;;
2,09;250;0,36;0,422;;
2,1;251;0,362;0,423;;
2,1;252;0,364;0,424;;
2,11;253;0,366;0,425;;
2,11;255;0,367;0,426;;
2,12;255;0,369;0,427;;
2,12;257;0,371;0,428;;
2,13;258;0,373;0,429;;
2,13;258;0,375;0,43;;
2,14;260;0,376;0,431;;
2,14;262;0,378;0,432;;
2,14;262;0,38;0,433;;
2,15;263;0,382;0,434;;
2,15;265;0,384;0,435;;
2,16;267;0,386;0,436;;
2,16;267;0,387;0,436;;
2,17;268;0,389;0,437;;
2,17;269;0,391;0,438;;
2,18;270;0,393;0,439;;
2,18;272;0,395;0,44;;
2,19;272;0,397;0,441;;
2,19;275;0,399;0,442;;
2,2;275;0,4;0,443;;
2,2;277;0,403;0,444;;
2,21;278;0,404;0,445;;
2,21;279;0,406;0,446;;
2,22;280;0,408;0,447;;
2,22;282;0,41;0,448;;
2,23;283;0,412;0,449;;
2,23;283;0,414;0,45;;
2,24;285;0,416;0,451;;
2,24;286;0,418;0,452;;
2,24;287;0,42;0,453;;
2,25;288;0,421;0,454;;
2,25;290;0,423;0,455;;
2,26;292;0,425;0,455;;
2,26;292;0,427;0,456;;
2,27;293;0,429;0,457;;
2,27;293;0,431;0,458;;
2,28;295;0,433;0,459;;
2,28;297;0,435;0,46;;
2,29;298;0,437;0,461;;
2,29;300;0,439;0,462;;
2,3;300;0,441;0,463;;
2,3;302;0,443;0,464;;
2,31;303;0,445;0,465;;
2,31;303;0,447;0,466;;
2,32;306;0,449;0,467;;
2,32;307;0,451;0,468;;
2,33;308;0,453;0,469;;
2,33;308;0,455;0,47;;
2,33;310;0,457;0,471;;
2,34;312;0,459;0,472;;
2,34;313;0,461;0,473;;
2,35;314;0,463;0,473;;
2,35;315;0,465;0,474;;
2,36;317;0,467;0,475;;
2,36;318;0,469;0,476;;
2,37;319;0,471;0,477;;
2,37;322;0,473;0,478;;
2,38;321;0,475;0,479;;
2,38;323;0,477;0,48;;
2,39;325;0,479;0,481;;
2,39;325;0,481;0,482;;
2,4;326;0,483;0,483;;
2,4;329;0,485;0,484;;
2,41;330;0,487;0,485;;
2,41;332;0,49;0,486;;
2,42;333;0,492;0,487;;
2,42;333;0,494;0,488;;
2,43;335;0,496;0,489;;
2,43;337;0,498;0,49;;
2,43;338;0,5;0,491;;
2,44;339;0,502;0,492;;
2,44;340;0,504;0,492;;
2,45;340;0,506;0,493;;
2,45;342;0,508;0,494;;
2,46;343;0,51;0,495;;
2,46;345;0,512;0,496;;
2,47;345;0,514;0,497;;
2,47;347;0,516;0,498;;
2,48;348;0,519;0,499;;
2,48;350;0,521;0,5;;
2,49;352;0,523;0,501;;
2,49;352;0,525;0,502;;
2,5;353;0,527;0,503;;
2,5;355;0,529;0,504;;
2,51;355;0,531;0,505;;
2,51;357;0,533;0,506;;
2,51;358;0,536;0,507;;
2,52;360;0,538;0,508;;
2,52;362;0,54;0,509;;
2,53;363;0,542;0,51;;
2,53;363;0,544;0,511;;
2,54;365;0,546;0,511;;
2,54;367;0,548;0,512;;
2,55;367;0,551;0,513;;
2,55;369;0,553;0,514;;
2,56;370;0,555;0,515;;
2,56;372;0,557;0,516;;
2,57;373;0,559;0,517;;
2,57;375;0,561;0,518;;
2,58;375;0,564;0,519;;
2,58;377;0,566;0,52;;
2,59;378;0,568;0,521;;
2,59;380;0,57;0,522;;
2,6;381;0,572;0,523;;
2,6;382;0,575;0,524;;
2,61;383;0,577;0,525;;
2,61;385;0,579;0,526;;
2,61;386;0,581;0,527;;
2,62;387;0,583;0,528;;
2,62;388;0,586;0,529;;
2,63;389;0,588;0,529;;
2,63;391;0,59;0,53;;
2,64;392;0,592;0,531;;
2,64;393;0,594;0,532;;
2,65;395;0,597;0,533;;
2,65;396;0,599;0,534;;
2,66;397;0,601;0,535;;
2,66;398;0,603;0,536;;
2,67;400;0,606;0,537;;
2,67;402;0,608;0,538;;
2,68;403;0,61;0,539;;
2,68;403;0,612;0,54;;
2,69;405;0,615;0,541;;
2,69;407;0,617;0,542;;
2,69;408;0,619;0,543;;
2,7;409;0,621;0,544;;
2,71;410;0,623;0,545;;
2,71;412;0,626;0,546;;
2,71;412;0,628;0,547;;
2,72;415;0,63;0,548;;
2,72;416;0,633;0,548;;
2,73;417;0,635;0,549;;
2,73;418;0,637;0,55;;
2,74;420;0,639;0,551;;
2,74;421;0,642;0,552;;
2,75;422;0,644;0,553;;
2,75;423;0,646;0,554;;
2,76;425;0,648;0,555;;
2,76;426;0,651;0,556;;
2,77;427;0,653;0,557;;
2,77;428;0,655;0,558;;
2,78;430;0,657;0,559;;
2,78;431;0,66;0,56;;
2,79;432;0,662;0,561;;
2,79;433;0,664;0,562;;
2,8;435;0,667;0,563;;
2,8;437;0,669;0,564;;
2,8;438;0,671;0,565;;
2,81;438;0,674;0,566;;
2,81;440;0,676;0,566;;
2,82;442;0,678;0,567;;
2,82;443;0,68;0,568;;
2,83;444;0,683;0,569;;
2,83;445;0,685;0,57;;
2,84;447;0,688;0,571;;
2,84;448;0,69;0,572;;
2,85;450;0,692;0,573;;
2,85;450;0,694;0,574;;
2,86;452;0,697;0,575;;
2,86;453;0,699;0,576;;
2,87;455;0,702;0,577;;
2,87;456;0,704;0,578;;
2,88;457;0,706;0,579;;
2,88;458;0,709;0,58;;
2,89;460;0,711;0,581;;
2,89;461;0,713;0,582;;
2,89;463;0,716;0,583;;
2,9;463;0,718;0,584;;
2,9;465;0,72;0,585;;
2,91;466;0,723;0,585;;
2,91;468;0,725;0,586;;
2,92;470;0,727;0,587;;
2,92;470;0,73;0,588;;
2,93;472;0,732;0,589;;
2,93;473;0,735;0,59;;
2,94;474;0,737;0,591;;
2,94;475;0,739;0,592;;
2,95;477;0,742;0,593;;
2,95;478;0,744;0,594;;
2,96;480;0,747;0,595;;
2,96;480;0,749;0,596;;
2,97;482;0,751;0,597;;
2,97;482;0,754;0,598;;
2,98;485;0,756;0,599;;
2,98;485;0,758;0,6;;
2,98;487;0,761;0,601;;
2,99;488;0,763;0,602;;
2,99;490;0,766;0,603;;
3;492;0,768;0,603;;
3;492;0,771;0,604;;
3,01;493;0,773;0,605;;
3,01;495;0,775;0,606;;
3,02;497;0,778;0,607;;
3,02;497;0,78;0,608;;
3,03;499;0,783;0,609;;
3,03;500;0,785;0,61;;
3,04;502;0,788;0,611;;
3,04;503;0,79;0,612;;
3,05;503;0,793;0,613;;
3,05;505;0,795;0,614;;
3,06;507;0,797;0,615;;
3,07;508;0,801;0,617;;
3,07;508;0,801;0,617;;
3,07;511;0,801;0,618;;
3,08;512;0,801;0,62;;
3,08;515;0,801;0,621;;
3,09;516;0,801;0,622;;
3,1;518;0,801;0,624;;
3,11;520;0,801;0,625;;
3,11;522;0,801;0,626;;
3,12;523;0,801;0,628;;
3,13;526;0,801;0,629;;
3,13;528;0,801;0,63;;
3,14;529;0,801;0,632;;
3,15;532;0,801;0,633;;
3,15;533;0,801;0,635;;
3,16;535;0,801;0,636;;
3,17;537;0,801;0,637;;
3,17;538;0,801;0,639;;
3,18;541;0,801;0,64;;
3,19;543;0,801;0,641;;
3,19;545;0,801;0,643;;
3,2;547;0,801;0,644;;
3,21;549;0,801;0,645;;
3,22;551;0,801;0,647;;
3,22;553;0,801;0,648;;
3,23;555;0,801;0,65;;
3,24;557;0,801;0,651;;
3,24;558;0,801;0,652;;
3,25;560;0,801;0,654;;
3,26;562;0,801;0,655;;
3,26;564;0,801;0,656;;
3,27;565;0,801;0,658;;
3,28;568;0,801;0,659;;
3,28;569;0,801;0,661;;
3,29;572;0,801;0,662;;
3,3;573;0,801;0,663;;
3,3;575;0,801;0,665;;
3,31;577;0,801;0,666;;
3,32;578;0,801;0,667;;
3,32;580;0,801;0,669;;
3,33;583;0,801;0,67;;
3,34;585;0,801;0,671;;
3,35;587;0,801;0,673;;
3,35;588;0,801;0,674;;
3,36;590;0,801;0,676;;
3,37;593;0,801;0,677;;
3,37;593;0,801;0,678;;
3,38;595;0,801;0,68;;
3,39;597;0,801;0,681;;
3,39;599;0,801;0,682;;
3,4;601;0,801;0,684;;
3,41;603;0,801;0,685;;
3,41;605;0,801;0,687;;
3,42;607;0,801;0,688;;
3,43;609;0,801;0,689;;
3,43;610;0,801;0,691;;
3,44;612;0,801;0,692;;
3,45;615;0,801;0,693;;
3,45;616;0,801;0,695;;
3,46;618;0,801;0,696;;
3,47;619;0,801;0,697;;
3,48;622;0,801;0,699;;
3,48;623;0,801;0,7;;
3,49;625;0,801;0,702;;
3,5;627;0,801;0,703;;
3,5;629;0,801;0,704;;
3,51;630;0,801;0,706;;
3,52;633;0,801;0,707;;
3,52;635;0,801;0,708;;
3,53;637;0,801;0,71;;
3,54;638;0,801;0,711;;
3,54;640;0,801;0,713;;
3,55;642;0,801;0,714;;
3,56;643;0,801;0,715;;
3,56;645;0,801;0,717;;
3,57;647;0,801;0,718;;
3,58;649;0,801;0,719;;
3,58;651;0,801;0,721;;
3,59;652;0,801;0,722;;
3,6;653;0,801;0,723;;
3,61;656;0,801;0,725;;
3,61;658;0,801;0,726;;
3,62;660;0,801;0,728;;
3,63;662;0,801;0,729;;
3,63;663;0,801;0,73;;
3,64;665;0,801;0,732;;
3,65;667;0,801;0,733;;
3,65;668;0,801;0,734;;
3,66;670;0,801;0,736;;
3,67;672;0,801;0,737;;
3,67;673;0,801;0,738;;
3,68;676;0,801;0,74;;
3,69;678;0,801;0,741;;
3,69;679;0,801;0,743;;
3,7;682;0,801;0,744;;
3,71;683;0,801;0,745;;
3,71;684;0,801;0,747;;
3,72;687;0,801;0,748;;
3,73;688;0,801;0,749;;
3,74;690;0,801;0,751;;
3,74;692;0,801;0,752;;
3,75;693;0,801;0,754;;
3,76;695;0,801;0,755;;
3,76;697;0,801;0,756;;
3,77;698;0,801;0,758;;
3,78;700;0,801;0,759;;
3,78;702;0,801;0,76;;
3,79;703;0,801;0,762;;
3,8;705;0,801;0,763;;
3,8;707;0,801;0,764;;
3,81;709;0,801;0,766;;
3,82;710;0,801;0,767;;
3,82;712;0,801;0,769;;
3,83;713;0,801;0,77;;
3,84;715;0,801;0,771;;
3,84;717;0,801;0,773;;
3,85;718;0,801;0,774;;
3,86;721;0,801;0,775;;
3,87;722;0,801;0,777;;
3,87;723;0,801;0,778;;
3,88;726;0,801;0,78;;
3,89;727;0,801;0,781;;
3,89;728;0,801;0,782;;
3,9;730;0,801;0,784;;
3,91;733;0,801;0,785;;
3,91;734;0,801;0,786;;
3,92;735;0,801;0,788;;
3,93;737;0,801;0,789;;
3,93;738;0,801;0,79;;
3,94;742;0,801;0,792;;
3,95;743;0,801;0,793;;
3,95;745;0,801;0,795;;
3,96;745;0,801;0,796;;
3,97;747;0,801;0,797;;
3,97;748;0,801;0,799;;
3,98;750;0,801;0,8;;
3,99;752;0,801;0,801;;
4;753;0,801;0,803;;
4;755;0,801;0,804;;
4,01;757;0,801;0,805;;
4,02;758;0,801;0,807;;
4,02;760;0,801;0,808;;
4,03;761;0,801;0,81;;
4,04;762;0,801;0,811;;
4,04;765;0,801;0,812;;
4,05;766;0,801;0,814;;
4,06;767;0,801;0,815;;
4,06;770;0,801;0,816;;
4,07;770;0,801;0,818;;
4,08;772;0,801;0,819;;
4,08;773;0,801;0,821;;
4,09;775;0,801;0,822;;
4,1;777;0,801;0,823;;
4,1;778;0,801;0,825;;
4,11;780;0,801;0,826;;
4,12;781;0,801;0,827;;
4,12;783;0,801;0,829;;
4,13;785;0,801;0,83;;
4,14;787;0,801;0,831;;
4,14;787;0,801;0,833;;
4,15;789;0,801;0,834;;
4,16;790;0,801;0,836;;
4,17;792;0,801;0,837;;
4,17;793;0,801;0,838;;
4,18;795;0,801;0,84;;
4,19;797;0,801;0,841;;
4,19;798;0,801;0,842;;
4,2;800;0,801;0,844;;
4,21;802;0,801;0,845;;
4,21;803;0,801;0,847;;
4,22;804;0,801;0,848;;
4,23;805;0,801;0,849;;
4,23;807;0,801;0,851;;
4,24;809;0,801;0,852;;
4,25;810;0,801;0,853;;
4,25;811;0,801;0,855;;
4,26;813;0,801;0,856;;
